TestedCompaniesAmount,RunningAvgNs,RunningAvgThroughput_MMsgSec,CumulMedianCycles,CumulP95Cycles,CumulP999Cycles,CumulMaxCycles
1,66.69,14.9948,27,96,1022,405808
2,67.7362,14.7667,29,93,1077,405808
3,68.7705,14.55,32,96,1062,405808
4,69.0979,14.4798,33,102,1041,405808
5,71.1517,14.1038,32,102,1077,1468129
6,71.7559,13.982,33,103,1063,1468129
7,71.5709,14.0121,32,101,1069,1468129
8,70.5997,14.2198,31,98,1047,1468129
9,70.2804,14.2804,31,100,1042,1468129
10,69.7483,14.3917,31,100,1022,1468129
11,69.1338,14.5267,31,100,1014,1468129
12,69.3645,14.4751,31,100,1019,1468129
13,69.6555,14.4133,31,102,1033,1468129
14,69.3422,14.4781,31,101,1039,1468129
15,69.3866,14.4652,31,102,1049,1468129
16,69.7009,14.401,31,104,1055,1468129
17,69.5262,14.4354,31,102,1042,1468129
18,69.4523,14.448,31,103,1037,1468129
19,69.3108,14.4759,31,102,1027,1468129
20,69.3039,14.475,31,103,1025,1468129
21,69.1467,14.5072,31,103,1025,1468129
22,69.409,14.4545,31,105,1025,1468129
23,70.3027,14.3093,31,106,1043,1468129
24,70.23,14.3208,31,105,1040,1468129
25,69.93,14.3857,31,104,1030,1468129
26,72.6222,14.1072,31,108,1081,1468129
27,74.0531,13.9176,31,113,1120,1468129
28,75.1445,13.762,32,117,1124,1468129
29,75.5757,13.6808,33,117,1126,1468129
30,75.7497,13.6374,33,117,1124,1468129
31,75.8099,13.6131,33,116,1122,1468129
32,76.3476,13.5236,34,118,1149,1468129
33,76.7559,13.4512,35,119,1148,1468129
34,76.8471,13.4239,35,119,1142,1468129
35,76.809,13.4187,35,119,1138,1468129
36,77.0201,13.375,35,119,1136,1468129
37,77.0417,13.3609,35,119,1135,1468129
38,76.9243,13.3718,35,119,1132,1468129
39,76.782,13.3882,36,119,1130,1468129
40,76.5604,13.4216,35,119,1125,1468129
41,76.4131,13.4401,35,119,1120,1468129
42,76.4028,13.4335,35,118,1118,1468129
43,76.4216,13.4223,35,118,1112,1468129
44,77.2337,13.3198,36,119,1118,1468129
45,77.1062,13.3347,36,119,1110,1468129
46,76.922,13.3615,35,118,1104,1468129
47,76.7455,13.3873,35,118,1100,1468129
48,76.7443,13.38,35,118,1098,1468129
49,76.7568,13.3708,35,119,1096,1468129
50,76.7714,13.3615,35,119,1094,1468129
51,76.8647,13.34,35,119,1093,1468129
52,76.7427,13.3561,35,119,1090,1468129
53,76.7016,13.3572,35,118,1087,1468129
54,76.4715,13.3979,35,118,1083,1468129
55,76.4053,13.404,35,118,1083,1468129
56,76.2207,13.4349,35,118,1081,1468129
57,76.0598,13.4609,35,117,1078,1468129
58,75.9524,13.4757,35,118,1076,1468129
59,75.7465,13.5129,35,117,1074,1468129
60,75.6352,13.529,35,117,1073,1468129
61,75.518,13.5466,35,117,1071,1468129
62,75.4289,13.5585,35,117,1069,1468129
63,75.23,13.5957,35,117,1067,1468129
64,75.0985,13.6171,35,117,1065,1468129
65,74.9785,13.6362,35,117,1062,1468129
66,74.9224,13.6422,35,117,1063,1468129
67,74.8124,13.6595,35,117,1063,1468129
68,74.7832,13.6606,35,117,1063,1468129
69,74.6901,13.6746,35,117,1063,1468129
70,74.6156,13.6849,35,117,1061,1468129
71,74.5486,13.6937,35,118,1059,1468129
72,74.3861,13.7245,35,117,1057,1468129
73,74.3305,13.7313,35,118,1057,1468129
74,74.1675,13.7628,35,117,1055,1468129
75,74.1207,13.768,35,117,1055,1468129
76,74.017,13.7855,35,117,1053,1468129
77,73.8728,13.8129,35,117,1052,1468129
78,73.7771,13.8288,35,117,1052,1468129
79,73.7202,13.8365,35,117,1053,1468129
80,73.6268,13.8522,35,117,1053,1468129
81,73.543,13.8659,35,117,1051,1468129
82,73.4404,13.884,35,117,1051,1468129
83,73.3663,13.8958,35,117,1051,1468129
84,73.2682,13.9132,35,117,1051,1468129
85,73.1507,13.9354,35,117,1048,1468129
86,73.0833,13.946,35,117,1047,1468129
87,73.0004,13.9602,35,117,1047,1468129
88,72.8948,13.98,35,117,1045,1468129
89,72.8168,13.9932,35,117,1043,1468129
90,72.73,14.0087,35,117,1042,1468129
91,72.6183,14.0304,35,117,1041,1468129
92,72.5805,14.0351,35,117,1042,1468129
93,72.4775,14.0548,35,117,1041,1468129
94,72.3481,14.0817,35,117,1041,1468129
95,72.2997,14.0888,35,117,1040,1468129
96,72.2415,14.0982,35,117,1039,1468129
97,72.1788,14.1087,35,118,1039,1468129
98,72.0218,14.1444,35,117,1037,1468129
99,71.9091,14.1675,35,117,1034,1468129
100,71.8086,14.1875,35,117,1033,1468129
101,72.5509,14.1145,35,117,1031,2520893
102,72.4943,14.1229,35,117,1031,2520893
103,72.3793,14.1459,34,117,1031,2520893
104,72.71,14.0999,34,117,1031,2520893
105,73.1682,14.0445,35,117,1031,2520893
106,73.2069,14.034,35,117,1032,2520893
107,73.3019,14.015,35,117,1036,2520893
108,73.3467,14.0037,35,117,1034,2520893
109,73.3468,14.0003,35,117,1034,2520893
110,73.6155,13.9614,35,117,1040,2520893
111,73.703,13.9437,35,118,1040,2520893
112,73.8539,13.9178,35,118,1040,2520893
113,73.903,13.906,35,118,1041,2520893
114,73.9171,13.9002,35,118,1041,2520893
115,74.0391,13.8782,35,119,1041,2520893
116,74.1202,13.8619,35,119,1041,2520893
117,74.4335,13.8206,35,119,1043,2520893
118,74.6415,13.7891,35,119,1043,2520893
119,74.8374,13.759,35,120,1047,2520893
120,75.0091,13.7316,35,120,1047,2520893
121,75.2632,13.6963,35,121,1049,2520893
122,75.4814,13.6645,35,121,1053,2520893
123,75.6949,13.6333,36,122,1055,2520893
124,75.9487,13.5986,36,123,1059,2520893
125,76.1237,13.5716,36,123,1059,2520893
126,76.169,13.5609,36,123,1057,2520893
127,76.2975,13.5392,36,123,1057,2520893
128,76.3658,13.5253,36,123,1057,2520893
129,76.4124,13.5146,36,123,1057,2520893
130,76.4111,13.5115,36,123,1057,2520893
131,76.3305,13.5243,36,123,1057,2520893
132,76.3175,13.5234,36,123,1057,2520893
133,76.2997,13.5234,36,123,1057,2520893
134,76.2394,13.5318,36,123,1057,2520893
135,76.1437,13.5486,36,123,1057,2520893
136,76.0582,13.5629,36,123,1057,2520893
137,76.0046,13.5702,36,123,1057,2520893
138,75.941,13.5796,36,123,1055,2520893
139,75.819,13.6039,36,123,1055,2520893
140,75.7513,13.6144,36,123,1055,2520893
141,75.6788,13.6261,36,123,1055,2520893
142,75.6292,13.6327,36,123,1055,2520893
143,75.615,13.6324,36,123,1055,2520893
144,75.5637,13.6395,36,123,1055,2520893
145,75.5037,13.6486,36,123,1055,2520893
146,75.4707,13.652,36,123,1055,2520893
147,75.4072,13.662,36,124,1053,2520893
148,75.4018,13.6603,36,124,1053,2520893
149,75.3309,13.6721,36,124,1053,2520893
150,75.2354,13.6902,36,124,1053,2520893
151,75.1842,13.6976,36,124,1052,2520893
152,75.1624,13.6991,36,124,1052,2520893
153,75.1379,13.701,36,124,1051,2520893
154,75.0628,13.7142,36,124,1051,2520893
155,74.9931,13.7262,36,124,1051,2520893
156,74.9186,13.7393,36,124,1051,2520893
157,74.9068,13.739,36,124,1051,2520893
158,74.8266,13.7537,36,124,1051,2520893
159,74.7354,13.7715,36,124,1051,2520893
160,74.6759,13.7812,36,124,1051,2520893
161,74.6062,13.7935,36,124,1051,2520893
162,74.5361,13.806,36,124,1049,2520893
163,74.473,13.8168,36,124,1049,2520893
164,74.4313,13.8227,35,124,1049,2520893
165,74.3866,13.8293,35,124,1049,2520893
166,74.3275,13.8393,35,124,1049,2520893
167,74.2551,13.8526,35,124,1049,2520893
168,74.1993,13.8619,35,124,1048,2520893
169,74.1538,13.8688,35,124,1047,2520893
170,74.1258,13.872,35,124,1049,2520893
171,74.0499,13.8865,35,124,1048,2520893
172,73.9874,13.8976,35,124,1047,2520893
173,73.9367,13.9059,35,124,1047,2520893
174,73.889,13.9136,35,124,1047,2520893
175,73.8011,13.9317,35,124,1045,2520893
176,73.7688,13.936,35,124,1045,2520893
177,73.7115,13.9461,35,124,1045,2520893
178,73.6693,13.9526,35,124,1045,2520893
179,73.6392,13.9564,35,124,1045,2520893
180,73.5798,13.9672,35,124,1045,2520893
181,73.5273,13.9762,35,124,1044,2520893
182,73.506,13.9783,35,125,1045,2520893
183,73.489,13.9796,35,125,1045,2520893
184,73.446,13.9864,35,125,1043,2520893
185,73.3959,13.9951,35,125,1043,2520893
186,73.3648,13.9993,35,125,1043,2520893
187,73.3193,14.0069,35,125,1043,2520893
188,73.2796,14.0132,35,125,1043,2520893
189,73.2159,14.0255,35,125,1043,2520893
190,73.2262,14.0217,35,125,1043,2520893
191,73.1884,14.0276,35,125,1043,2520893
192,73.1476,14.0342,35,125,1043,2520893
193,73.0942,14.0439,35,125,1043,2520893
194,73.0273,14.0573,35,125,1043,2520893
195,74.9977,13.9964,35,125,1226,2520893
196,74.9459,14.0037,35,125,1225,2520893
197,74.9268,14.0039,35,125,1225,2520893
198,74.8711,14.0122,35,125,1225,2520893
199,74.8067,14.0228,35,125,1224,2520893
200,74.7529,14.0307,35,125,1224,2520893
201,74.7172,14.0345,35,125,1224,2520893
202,74.6882,14.037,35,125,1223,2520893
203,74.6315,14.0458,35,125,1222,2520893
204,74.5805,14.0532,35,125,1221,2520893
205,74.5361,14.0592,35,125,1220,2520893
206,74.4787,14.0684,35,125,1219,2520893
207,74.4331,14.0747,35,125,1219,2520893
208,74.3722,14.0848,35,125,1218,2520893
209,74.3023,14.0975,35,125,1216,2520893
210,74.2712,14.1007,35,125,1214,2520893
211,74.2165,14.1094,35,125,1214,2520893
212,74.1451,14.1227,35,125,1213,2520893
213,74.1032,14.1283,35,125,1213,2520893
214,74.0612,14.1341,35,125,1212,2520893
215,74.0121,14.1416,35,125,1212,2520893
216,73.9544,14.1513,35,125,1211,2520893
217,73.886,14.1641,35,125,1211,2520893
218,73.8554,14.1674,35,125,1210,2520893
219,73.8285,14.1698,35,125,1209,2520893
220,73.8438,14.1643,35,125,1210,2520893
221,73.802,14.1702,35,125,1209,2520893
222,73.7348,14.1829,35,125,1209,2520893
223,73.7061,14.1859,35,125,1209,2520893
224,73.6458,14.1968,35,125,1208,2520893
225,73.6223,14.1987,35,125,1209,2520893
226,73.5568,14.2111,35,125,1209,2520893
227,73.5134,14.2176,35,125,1208,2520893
228,73.4827,14.2212,35,125,1208,2520893
229,73.4564,14.2238,35,125,1207,2520893
230,73.4331,14.2258,35,125,1207,2520893
231,73.4108,14.2277,35,125,1207,2520893
232,73.3721,14.2332,35,125,1206,2520893
233,73.358,14.2334,35,125,1207,2520893
234,73.3097,14.2414,35,125,1206,2520893
235,73.2899,14.2428,35,125,1206,2520893
236,73.2651,14.2453,35,125,1206,2520893
237,73.235,14.249,35,125,1205,2520893
238,73.1885,14.2567,35,125,1203,2520893
239,73.2036,14.2515,35,125,1205,2520893
240,73.2012,14.2495,35,125,1205,2520893
241,73.1843,14.2504,35,125,1203,2520893
242,73.1703,14.2507,35,125,1203,2520893
243,73.1296,14.2571,35,125,1202,2520893
244,73.2287,14.2408,35,126,1202,2520893
245,73.331,14.2242,35,126,1202,2520893
246,73.3866,14.2131,35,126,1201,2520893
247,73.4189,14.2053,35,126,1201,2520893
248,73.4494,14.1978,35,127,1201,2520893
249,73.4881,14.1891,35,127,1201,2520893
250,73.4714,14.1901,35,127,1200,2520893
251,73.466,14.1888,35,127,1199,2520893
252,73.4486,14.1899,35,127,1198,2520893
253,73.4327,14.1908,35,127,1197,2520893
254,73.4085,14.1934,35,127,1198,2520893
255,73.3972,14.1934,35,127,1197,2520893
256,73.3616,14.1987,35,127,1195,2520893
257,73.3169,14.2063,35,127,1194,2520893
258,73.2962,14.2083,35,127,1193,2520893
259,73.267,14.2122,35,127,1193,2520893
260,73.2151,14.2218,35,127,1192,2520893
261,73.1651,14.231,35,127,1191,2520893
262,73.1251,14.2376,35,127,1191,2520893
263,73.0795,14.2457,35,127,1189,2520893
264,73.0394,14.2523,35,127,1189,2520893
265,73.0157,14.2551,35,127,1189,2520893
266,72.9934,14.2575,35,127,1187,2520893
267,72.9508,14.2649,35,127,1187,2520893
268,72.8958,14.2758,35,127,1187,2520893
269,72.8485,14.2845,35,127,1185,2520893
270,72.8069,14.2917,35,127,1185,2520893
271,72.9085,14.2757,35,127,1185,2520893
272,72.911,14.2732,35,127,1185,2520893
273,72.8869,14.2761,35,127,1185,2520893
274,72.8486,14.2825,35,127,1185,2520893
275,72.8058,14.2901,35,127,1183,2520893
276,72.7899,14.2913,35,127,1183,2520893
277,72.7614,14.2953,35,127,1183,2520893
278,72.7108,14.3052,35,127,1181,2520893
279,72.6917,14.3071,35,127,1181,2520893
280,72.6679,14.3101,35,127,1181,2520893
281,72.7068,14.3018,35,127,1181,2520893
282,72.6711,14.3077,35,127,1181,2520893
283,72.6314,14.3146,35,127,1181,2520893
284,72.613,14.3165,35,127,1179,2520893
285,72.6154,14.3141,35,127,1179,2520893
286,72.5758,14.3211,35,127,1179,2520893
287,72.5266,14.3308,35,127,1178,2520893
288,72.5227,14.3297,35,127,1177,2520893
289,72.49,14.335,35,127,1175,2520893
290,72.4882,14.3334,35,127,1175,2520893
291,72.4538,14.3392,35,127,1175,2520893
292,72.4533,14.3374,35,127,1175,2520893
293,72.4166,14.3438,35,127,1175,2520893
294,72.3844,14.3491,35,127,1174,2520893
295,72.364,14.3515,35,127,1173,2520893
296,72.3344,14.3561,35,127,1173,2520893
297,72.3065,14.3604,35,127,1173,2520893
298,72.2889,14.3622,35,127,1173,2520893
299,72.2543,14.3682,35,127,1173,2520893
300,72.2098,14.3769,35,127,1173,2520893
301,72.1757,14.3827,35,127,1171,2520893
302,72.1755,14.381,35,127,1171,2520893
303,72.1345,14.3888,35,127,1170,2520893
304,72.0969,14.3956,35,127,1170,2520893
305,72.1286,14.3885,35,127,1170,2520893
306,72.0992,14.3933,35,127,1169,2520893
307,72.0632,14.3998,35,127,1169,2520893
308,72.0302,14.4055,35,127,1168,2520893
309,72.0152,14.4069,35,127,1167,2520893
310,71.9695,14.4162,35,127,1167,2520893
311,71.9442,14.42,35,127,1167,2520893
312,71.938,14.4195,35,127,1167,2520893
313,71.9263,14.4203,35,127,1167,2520893
314,71.8742,14.4316,35,127,1167,2520893
315,71.8447,14.4365,35,127,1167,2520893
316,71.8058,14.444,35,127,1165,2520893
317,71.7815,14.4477,35,127,1165,2520893
318,71.7634,14.4499,35,127,1165,2520893
319,71.762,14.4485,35,127,1165,2520893
320,71.7744,14.4446,35,127,1166,2520893
321,71.7625,14.4455,35,127,1166,2520893
322,71.7464,14.4473,35,127,1166,2520893
323,71.7234,14.4507,35,127,1165,2520893
324,71.6827,14.4588,35,127,1165,2520893
325,71.6524,14.4641,35,127,1165,2520893
326,71.6317,14.4669,35,127,1165,2520893
327,71.6401,14.4638,35,127,1165,2520893
328,71.6192,14.4668,35,127,1165,2520893
329,71.5936,14.4709,35,127,1165,2520893
330,71.5798,14.4723,35,127,1164,2520893
331,71.5545,14.4763,35,127,1164,2520893
332,71.5536,14.475,35,127,1164,2520893
333,71.552,14.4738,35,127,1164,2520893
334,71.6091,14.4635,35,127,1164,2520893
335,71.5964,14.4647,35,127,1163,2520893
336,71.5935,14.4638,35,127,1164,2520893
337,71.5927,14.4625,35,127,1164,2520893
338,71.5782,14.464,35,127,1164,2520893
339,71.554,14.4679,35,127,1164,2520893
340,71.5465,14.468,35,127,1163,2520893
341,71.5413,14.4676,35,127,1163,2520893
342,71.5286,14.4688,35,127,1163,2520893
343,71.5475,14.464,35,127,1163,2520893
344,71.5449,14.4631,35,127,1163,2520893
345,71.5168,14.468,35,127,1164,2520893
346,71.4872,14.4734,35,127,1164,2520893
347,71.467,14.4764,35,127,1163,2520893
348,71.4378,14.4816,35,127,1163,2520893
349,71.4104,14.4864,35,127,1163,2520893
350,71.3915,14.4892,35,127,1163,2520893
351,71.3638,14.4941,35,127,1163,2520893
352,71.3379,14.4985,35,127,1161,2520893
353,71.321,14.5008,35,127,1161,2520893
354,71.309,14.5019,35,127,1161,2520893
355,71.3419,14.495,35,127,1161,2520893
356,71.3659,14.4895,35,127,1161,2520893
357,71.3397,14.494,35,127,1161,2520893
358,71.3067,14.5005,35,127,1161,2520893
359,71.2689,14.5084,35,127,1160,2520893
360,71.2444,14.5125,35,127,1159,2520893
361,71.2302,14.5142,35,127,1159,2520893
362,71.2002,14.5199,35,127,1159,2520893
363,71.1784,14.5234,35,127,1158,2520893
364,71.1539,14.5276,35,127,1157,2520893
365,71.122,14.5339,35,127,1157,2520893
366,71.0939,14.5391,35,127,1156,2520893
367,71.0928,14.538,35,127,1156,2520893
368,71.0757,14.5404,35,127,1156,2520893
369,71.0496,14.5451,35,127,1155,2520893
370,71.0221,14.5502,35,127,1155,2520893
371,71.0011,14.5537,35,127,1155,2520893
372,71.2216,14.5321,35,127,1155,2520893
373,71.1974,14.5362,35,127,1155,2520893
374,71.1778,14.5393,35,127,1154,2520893
375,71.2228,14.5308,35,127,1155,2520893
376,71.825,14.5011,35,127,1158,2520893
377,71.8156,14.5014,35,127,1159,2520893
378,71.7957,14.5042,35,127,1158,2520893
379,71.7969,14.5025,35,127,1159,2520893
380,71.7728,14.5063,35,127,1159,2520893
381,71.744,14.5114,35,127,1159,2520893
382,71.7134,14.517,35,127,1158,2520893
383,71.6844,14.5222,35,127,1157,2520893
384,71.6814,14.5213,35,127,1157,2520893
385,71.6765,14.5208,35,127,1157,2520893
386,71.6531,14.5245,35,127,1157,2520893
387,71.6288,14.5285,35,127,1156,2520893
388,71.6037,14.5327,35,127,1156,2520893
389,71.598,14.5324,35,127,1157,2520893
390,71.5707,14.5372,35,127,1156,2520893
391,71.7052,14.5206,35,127,1171,2520893
392,71.6917,14.522,35,127,1171,2520893
393,71.6734,14.5245,35,127,1171,2520893
394,71.673,14.5231,34,128,1173,2520893
395,71.656,14.5253,34,128,1173,2520893
396,71.6464,14.5258,34,128,1173,2520893
397,71.6325,14.5273,34,128,1173,2520893
398,71.637,14.5251,34,128,1173,2520893
399,71.6144,14.5287,34,128,1173,2520893
400,71.5922,14.5322,34,128,1173,2520893
401,71.6395,14.5235,34,128,1173,2520893
402,71.6179,14.5269,34,128,1173,2520893
403,71.609,14.5273,34,128,1173,2520893
404,71.6182,14.5242,34,128,1173,2520893
405,71.595,14.5281,34,128,1173,2520893
406,71.5625,14.5344,34,128,1173,2520893
407,71.5684,14.5319,34,128,1173,2520893
408,71.5461,14.5356,34,128,1173,2520893
409,71.524,14.5391,34,128,1173,2520893
410,71.5019,14.5427,34,128,1173,2520893
411,71.499,14.5419,34,128,1173,2520893
412,71.4872,14.5431,34,128,1173,2520893
413,71.4559,14.5492,34,128,1173,2520893
414,71.4575,14.5476,34,128,1172,2520893
415,71.4266,14.5536,34,128,1171,2520893
416,71.4433,14.5493,34,128,1173,2520893
417,71.4508,14.5465,34,128,1173,2520893
418,71.4385,14.5478,34,128,1171,2520893
419,71.4514,14.5442,34,128,1172,2520893
420,71.4674,14.54,34,128,1173,2520893
421,71.4459,14.5435,34,128,1172,2520893
422,71.4184,14.5486,34,128,1171,2520893
423,71.4136,14.5483,34,128,1171,2520893
424,71.3999,14.55,34,128,1171,2520893
425,71.3934,14.55,34,128,1171,2520893
426,71.3676,14.5547,34,128,1171,2520893
427,71.3512,14.557,34,128,1170,2520893
428,71.328,14.561,34,128,1171,2520893
429,71.3094,14.5639,34,128,1171,2520893
430,71.2914,14.5666,34,128,1171,2520893
431,71.2918,14.5653,34,128,1171,2520893
432,71.2811,14.5663,34,128,1171,2520893
433,71.2799,14.5653,34,128,1171,2520893
434,71.2653,14.5672,34,128,1171,2520893
435,71.2401,14.5718,34,128,1170,2520893
436,71.2155,14.5763,34,128,1170,2520893
437,71.2142,14.5753,34,129,1169,2520893
438,71.2015,14.5768,34,129,1170,2520893
439,71.1882,14.5785,34,129,1169,2520893
440,71.1669,14.5821,34,129,1169,2520893
441,71.1602,14.5823,34,129,1169,2520893
442,71.1535,14.5825,34,129,1169,2520893
443,71.1466,14.5827,34,129,1169,2520893
444,71.1311,14.5849,34,129,1169,2520893
445,71.1224,14.5856,34,129,1169,2520893
446,71.1218,14.5845,34,129,1169,2520893
447,71.1094,14.586,34,129,1169,2520893
448,71.0891,14.5894,34,129,1169,2520893
449,71.0667,14.5934,34,129,1169,2520893
450,71.0254,14.6033,34,129,1169,2520893
451,70.9956,14.6095,34,129,1168,2520893
452,70.9774,14.6124,34,129,1167,2520893
453,70.9563,14.616,34,128,1167,2520893
454,70.9398,14.6186,34,129,1167,2520893
455,70.9356,14.6183,34,129,1167,2520893
456,70.9258,14.6192,34,129,1167,2520893
457,70.9162,14.6201,34,129,1167,2520893
458,70.9189,14.6185,34,129,1167,2520893
459,71.1841,14.5979,34,129,1167,2520893
460,71.1574,14.6031,34,129,1167,2520893
461,71.1382,14.6062,34,129,1167,2520893
462,71.1526,14.6024,34,129,1167,2520893
463,71.1206,14.6092,34,129,1167,2520893
464,71.0993,14.613,34,129,1167,2520893
465,71.0955,14.6125,34,129,1167,2520893
466,71.0693,14.6176,34,129,1167,2520893
467,71.041,14.6233,34,129,1166,2520893
468,71.0211,14.6267,34,129,1166,2520893
469,71.1356,14.6126,34,129,1167,2520893
470,71.1353,14.6115,34,129,1167,2520893
471,71.1139,14.6153,34,129,1167,2520893
472,71.117,14.6135,34,129,1167,2520893
473,71.1127,14.6132,34,129,1167,2520893
474,71.1032,14.614,34,129,1167,2520893
475,71.0689,14.6217,34,129,1167,2520893
476,71.0316,14.6304,34,129,1166,2520893
477,71.0113,14.6339,34,129,1165,2520893
478,70.9925,14.637,34,128,1165,2520893
479,70.9986,14.6347,34,129,1166,2520893
480,70.9969,14.6339,34,129,1165,2520893
481,70.9879,14.6346,34,129,1165,2520893
482,70.9879,14.6335,34,129,1165,2520893
483,70.9744,14.6353,34,129,1165,2520893
484,70.9795,14.6332,34,129,1165,2520893
485,70.9925,14.6297,34,129,1165,2520893
486,71.0136,14.6249,34,129,1165,2520893
487,71.0073,14.6251,34,129,1165,2520893
488,70.995,14.6267,34,129,1165,2520893
489,71.006,14.6235,34,129,1165,2520893
490,70.9885,14.6264,34,129,1165,2520893
491,71.0095,14.6216,34,129,1165,2520893
492,71.0001,14.6225,34,129,1165,2520893
493,70.9833,14.6252,34,129,1165,2520893
494,70.9655,14.6282,34,129,1165,2520893
495,70.989,14.6231,34,129,1166,2520893
496,70.973,14.6255,34,129,1167,2520893
497,70.96,14.6273,34,129,1166,2520893
498,70.9324,14.633,34,129,1166,2520893
499,70.8993,14.6405,34,129,1165,2520893
500,70.9937,14.6282,34,129,1165,2520893
