=========================================================
    MATCHING ENGINE PERCENTILE PERFORMANCE JOURNAL
=========================================================
Tested Co Rank :   1 | Events in Slice:  153158 | P50 (Median):   69 cycles | P95:  128 cycles | P99.9:  1237 cycles | Max:   18328 cycles
Tested Co Rank :   2 | Events in Slice:  114317 | P50 (Median):   69 cycles | P95:  130 cycles | P99.9:  1308 cycles | Max:   59769 cycles
Tested Co Rank :   3 | Events in Slice:  118532 | P50 (Median):   71 cycles | P95:  134 cycles | P99.9:  1278 cycles | Max:   59769 cycles
Tested Co Rank :   4 | Events in Slice:   81016 | P50 (Median):   71 cycles | P95:  138 cycles | P99.9:  1296 cycles | Max:   59769 cycles
Tested Co Rank :   5 | Events in Slice:   69699 | P50 (Median):   71 cycles | P95:  136 cycles | P99.9:  1304 cycles | Max:   59769 cycles
Tested Co Rank :   6 | Events in Slice:   61262 | P50 (Median):   71 cycles | P95:  138 cycles | P99.9:  1282 cycles | Max:   59769 cycles
Tested Co Rank :   7 | Events in Slice:   60678 | P50 (Median):   71 cycles | P95:  136 cycles | P99.9:  1251 cycles | Max:   59769 cycles
Tested Co Rank :   8 | Events in Slice:   62560 | P50 (Median):   71 cycles | P95:  134 cycles | P99.9:  1220 cycles | Max:   59769 cycles
Tested Co Rank :   9 | Events in Slice:   56895 | P50 (Median):   71 cycles | P95:  138 cycles | P99.9:  1223 cycles | Max:   59769 cycles
Tested Co Rank :  10 | Events in Slice:   60225 | P50 (Median):   71 cycles | P95:  140 cycles | P99.9:  1213 cycles | Max:   59769 cycles
Tested Co Rank :  11 | Events in Slice:   55560 | P50 (Median):   71 cycles | P95:  140 cycles | P99.9:  1282 cycles | Max:  126624 cycles
Tested Co Rank :  12 | Events in Slice:   54553 | P50 (Median):   71 cycles | P95:  140 cycles | P99.9:  1275 cycles | Max:  148649 cycles
Tested Co Rank :  13 | Events in Slice:   44227 | P50 (Median):   72 cycles | P95:  145 cycles | P99.9:  1290 cycles | Max:  148649 cycles
Tested Co Rank :  14 | Events in Slice:   46939 | P50 (Median):   71 cycles | P95:  143 cycles | P99.9:  1284 cycles | Max:  148649 cycles
Tested Co Rank :  15 | Events in Slice:   42144 | P50 (Median):   71 cycles | P95:  144 cycles | P99.9:  1288 cycles | Max:  148649 cycles
Tested Co Rank :  16 | Events in Slice:   36617 | P50 (Median):   73 cycles | P95:  147 cycles | P99.9:  1295 cycles | Max:  148649 cycles
Tested Co Rank :  17 | Events in Slice:   40712 | P50 (Median):   71 cycles | P95:  144 cycles | P99.9:  1282 cycles | Max:  148649 cycles
Tested Co Rank :  18 | Events in Slice:   33189 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1278 cycles | Max:  148649 cycles
Tested Co Rank :  19 | Events in Slice:   35942 | P50 (Median):   71 cycles | P95:  144 cycles | P99.9:  1267 cycles | Max:  148649 cycles
Tested Co Rank :  20 | Events in Slice:   33218 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1259 cycles | Max:  148649 cycles
Tested Co Rank :  21 | Events in Slice:   31463 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1251 cycles | Max:  148649 cycles
Tested Co Rank :  22 | Events in Slice:   31449 | P50 (Median):   71 cycles | P95:  147 cycles | P99.9:  1250 cycles | Max:  148649 cycles
Tested Co Rank :  23 | Events in Slice:   32301 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1256 cycles | Max:  148649 cycles
Tested Co Rank :  24 | Events in Slice:   34687 | P50 (Median):   71 cycles | P95:  147 cycles | P99.9:  1245 cycles | Max:  148649 cycles
Tested Co Rank :  25 | Events in Slice:   34041 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1237 cycles | Max:  148649 cycles
Tested Co Rank :  26 | Events in Slice:   27289 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1262 cycles | Max:  171173 cycles
Tested Co Rank :  27 | Events in Slice:   29210 | P50 (Median):   71 cycles | P95:  152 cycles | P99.9:  1286 cycles | Max:  758640 cycles
Tested Co Rank :  28 | Events in Slice:   33504 | P50 (Median):   71 cycles | P95:  152 cycles | P99.9:  1284 cycles | Max:  758640 cycles
Tested Co Rank :  29 | Events in Slice:   32678 | P50 (Median):   71 cycles | P95:  151 cycles | P99.9:  1278 cycles | Max:  758640 cycles
Tested Co Rank :  30 | Events in Slice:   28234 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1271 cycles | Max:  758640 cycles
Tested Co Rank :  31 | Events in Slice:   32134 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1259 cycles | Max:  758640 cycles
Tested Co Rank :  32 | Events in Slice:   24155 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1276 cycles | Max:  758640 cycles
Tested Co Rank :  33 | Events in Slice:   22815 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1271 cycles | Max:  758640 cycles
Tested Co Rank :  34 | Events in Slice:   30474 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1264 cycles | Max:  758640 cycles
Tested Co Rank :  35 | Events in Slice:   28887 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1257 cycles | Max:  758640 cycles
Tested Co Rank :  36 | Events in Slice:   24739 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1253 cycles | Max:  758640 cycles
Tested Co Rank :  37 | Events in Slice:   18177 | P50 (Median):   71 cycles | P95:  149 cycles | P99.9:  1251 cycles | Max:  758640 cycles
Tested Co Rank :  38 | Events in Slice:   23312 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1247 cycles | Max:  758640 cycles
Tested Co Rank :  39 | Events in Slice:   21672 | P50 (Median):   71 cycles | P95:  148 cycles | P99.9:  1243 cycles | Max:  758640 cycles
Tested Co Rank :  40 | Events in Slice:   25253 | P50 (Median):   71 cycles | P95:  147 cycles | P99.9:  1237 cycles | Max:  758640 cycles
Tested Co Rank :  41 | Events in Slice:   25821 | P50 (Median):   71 cycles | P95:  147 cycles | P99.9:  1235 cycles | Max:  758640 cycles
Tested Co Rank :  42 | Events in Slice:   24049 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1227 cycles | Max:  758640 cycles
Tested Co Rank :  43 | Events in Slice:   24614 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1225 cycles | Max:  758640 cycles
Tested Co Rank :  44 | Events in Slice:   18362 | P50 (Median):   71 cycles | P95:  147 cycles | P99.9:  1225 cycles | Max:  758640 cycles
Tested Co Rank :  45 | Events in Slice:   24534 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1218 cycles | Max:  758640 cycles
Tested Co Rank :  46 | Events in Slice:   24008 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1214 cycles | Max:  758640 cycles
Tested Co Rank :  47 | Events in Slice:   23615 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1209 cycles | Max:  758640 cycles
Tested Co Rank :  48 | Events in Slice:   23045 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1206 cycles | Max:  758640 cycles
Tested Co Rank :  49 | Events in Slice:   22313 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1202 cycles | Max:  758640 cycles
Tested Co Rank :  50 | Events in Slice:   22916 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1201 cycles | Max:  758640 cycles
Tested Co Rank :  51 | Events in Slice:   22902 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1199 cycles | Max:  758640 cycles
Tested Co Rank :  52 | Events in Slice:   22052 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1196 cycles | Max:  758640 cycles
Tested Co Rank :  53 | Events in Slice:   22248 | P50 (Median):   71 cycles | P95:  146 cycles | P99.9:  1192 cycles | Max:  758640 cycles
Tested Co Rank :  54 | Events in Slice:   20939 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1187 cycles | Max:  758640 cycles
Tested Co Rank :  55 | Events in Slice:   18592 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1190 cycles | Max:  758640 cycles
Tested Co Rank :  56 | Events in Slice:   15732 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1186 cycles | Max:  758640 cycles
Tested Co Rank :  57 | Events in Slice:   20132 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1182 cycles | Max:  758640 cycles
Tested Co Rank :  58 | Events in Slice:   19797 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1180 cycles | Max:  758640 cycles
Tested Co Rank :  59 | Events in Slice:   17985 | P50 (Median):   71 cycles | P95:  144 cycles | P99.9:  1178 cycles | Max:  758640 cycles
Tested Co Rank :  60 | Events in Slice:   17642 | P50 (Median):   71 cycles | P95:  145 cycles | P99.9:  1176 cycles | Max:  758640 cycles
